site number,site location,Cluster,site acronym,date,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,comments
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2009,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2009,NA,11.3,NA,7.9,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2009,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2009,NA,15.3,NA,8.9,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2009,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2009,NA,13.7,NA,8.2,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2009,NA,13.6,NA,8.2,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2009,NA,13.4,NA,8.4,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2009,NA,17.2,NA,8.76,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2009,NA,14.3,NA,8.9,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2009,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2009,NA,14.4,NA,8.4,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,52.6,17.9,10.51,7.96,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,51.5,17.8,10.54,7.97,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,48.4,17.8,10.56,7.97,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,44.8,17.8,10.61,7.98,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,41.5,17.8,10.64,7.99,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,38.1,17.8,10.7,8.01,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,33.8,17.9,10.68,8,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,30.2,17.9,10.68,8.01,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,26.8,17.9,10.73,8.02,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,23.6,17.9,10.78,8.03,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,20.4,17.9,10.8,8.04,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,17.1,17.9,10.83,8.04,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,14.2,17.9,10.85,8.04,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,11,17.9,10.88,8.05,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,7.6,17.9,10.9,8.05,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,4.2,17.9,10.96,8.03,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,2,17.9,10.99,8.01,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,0.1,17.9,11,8.03,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2009,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2009,NA,13.7,NA,8.4,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2009,NA,14.6,NA,8.9,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2009,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,2009,NA,12.3,NA,8.3,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2009,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2009,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2009,NA,NA,NA,NA,NA,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2009,10,11.4,11.6,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2009,15,11.3,11.6,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2009,20,11.3,10.4,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2009,25,11,9.9,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2009,30,10.9,9.5,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2009,35,10.8,9,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2009,40,10.7,7.9,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2009,45,NA,NA,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2009,5,11.5,11.9,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2009,50,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2009,0,11.6,11.8,NA,1.52,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2009,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2009,NA,NA,NA,NA,NA,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2009,10,13.3,7.6,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2009,15,13.1,6.9,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2009,20,13.1,6.7,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2009,25,13.1,6.8,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2009,30,13.1,6.5,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2009,35,NA,NA,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2009,40,NA,NA,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2009,45,NA,NA,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2009,5,13.3,7.6,NA,NA,NA,NA
R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2009,50,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2009,0,13.4,7.6,NA,3.05,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,2009,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2009,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2009,NA,13.5,NA,8.2,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2009,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2009,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2009,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2009,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP inlet,NA,Glen In,2009,NA,17.3,NA,8.8,NA,NA,NA
Glen Out,Glendale WTP outlet,NA,Glen Out,2009,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2009,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2009,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2009,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,2009,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2009,NA,16.9,NA,8.1,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2009,NA,16.5,NA,8.8,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2009,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2009,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2009,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2009,NA,13,NA,8,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2009,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2009,NA,13.7,NA,8.6,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2009,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2009,NA,16.2,NA,8.9,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2009,NA,16.4,NA,8.9,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2009,NA,16,NA,8.5,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2009,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2009,NA,15,NA,8.2,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2009,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2009,NA,15.4,NA,8.2,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,56.6,18.1,9.42,7.72,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,52.9,18.1,9.38,7.71,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,49.1,18.1,9.44,7.73,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,46.1,18.6,10.06,7.81,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,41.9,18.4,9.91,7.78,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,39.3,18.5,9.9,7.8,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,36.7,18.4,10.04,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,33.8,18.4,9.99,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,30.7,18.5,9.88,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,27.5,18.2,9.83,7.75,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,24.3,18.4,9.96,7.77,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,21.2,18.4,10.04,7.78,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,17.9,18.5,10.11,7.78,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,14.8,18.5,10.17,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,11.6,18.5,10.22,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,8.4,18.5,10.23,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,5.3,18.6,10.27,7.79,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,2.1,18.6,10.32,7.8,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,0.274390244,18.67,10.37,7.8,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2009,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2009,NA,15.6,NA,8.3,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2009,NA,15.1,NA,8.7,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2009,NA,21.6,NA,8.6,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,2009,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2009,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2009,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2009,NA,NA,NA,NA,NA,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2009,10,12.5,10,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2009,15,11.6,9.1,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2009,20,11.2,9.1,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2009,25,11.1,8.9,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2009,30,11,8.8,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2009,35,11,8.8,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2009,40,10.9,8.3,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2009,45,10.9,7.3,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2009,5,14,11.8,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2009,50,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2009,0,14.4,11.9,NA,2.44,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2009,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2009,NA,NA,NA,NA,NA,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2009,10,13.6,9,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2009,15,12.9,8,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2009,20,12.7,8.2,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2009,25,12.5,8.1,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2009,30,12.4,7.9,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2009,35,NA,NA,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2009,40,NA,NA,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2009,45,NA,NA,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2009,5,14.8,10,NA,NA,NA,NA
R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2009,50,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2009,0,15.8,12.2,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,2009,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2009,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2009,NA,16,NA,8.8,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2009,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2009,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2009,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2009,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP inlet,NA,Glen In,2009,NA,17.4,NA,8.4,NA,NA,NA
Glen Out,Glendale WTP outlet,NA,Glen Out,2009,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2009,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2009,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2009,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,2009,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2009,NA,17,NA,8.3,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2009,NA,17.6,NA,8.5,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2009,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2009,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2009,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2009,NA,15.5,NA,8,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2009,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2009,NA,16.1,NA,8.6,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2009,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2009,NA,17.6,NA,8.5,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2009,NA,17.7,NA,8.5,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2009,NA,17.8,NA,8.5,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2009,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2009,NA,17.1,NA,8.5,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2009,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2009,NA,18,NA,8.4,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,57.5,54.6,8.19,7.95,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,54.6,54.6,8.25,7.9,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,51.2,54.5,8.32,7.89,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,48,54.6,8.41,7.89,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,44.8,54.5,8.46,7.86,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,41.5,54.6,8.47,7.85,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,38.1,54.8,8.59,7.84,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,34.8,54.9,8.7,7.85,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,31.6,55.1,8.81,7.85,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,28.3,55.2,8.86,7.85,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,25.1,55.5,9,7.87,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,21.7,57.3,9.09,7.93,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,18.4,57.9,9.49,7.98,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,15,58.3,9.67,8.01,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,11.8,58.8,9.81,8.05,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,8.4,58.9,9.91,8.09,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,5,59,9.98,8.06,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,1.8,59.1,10.01,8.06,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,0.37,59.2,10.05,8.08,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R2,Lake Pleasant integrated sample,cap,pleasant,2009,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2009,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2009,NA,17.3,NA,8.3,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2009,NA,17.1,NA,8.5,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2009,NA,17.6,NA,8.6,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,2009,NA,18.1,NA,8.3,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2009,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2009,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2009,NA,NA,NA,NA,NA,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2009,10,15.8,9.8,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2009,15,15.1,8.4,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2009,20,12.7,6.5,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2009,25,11.8,6.1,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2009,30,11.5,6.5,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2009,35,11.4,6.5,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2009,40,11.3,6.6,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2009,45,11.3,6.5,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2009,5,15.9,9.7,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2009,50,11.2,5.4,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2009,0,16,9.7,NA,3.05,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2009,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2009,NA,NA,NA,NA,NA,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2009,10,16.2,8.1,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2009,15,14.8,6.5,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2009,20,14.4,6.3,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2009,25,14.1,6.2,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2009,30,14,5.6,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2009,35,NA,NA,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2009,40,NA,NA,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2009,45,NA,NA,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2009,5,16.6,8.5,NA,NA,NA,NA
R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2009,50,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2009,0,16.7,8.5,NA,5.49,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,2009,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2009,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2009,NA,17.6,NA,8.5,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2009,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2009,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2009,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2009,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP inlet,NA,Glen In,2009,NA,22.7,NA,8.8,NA,NA,NA
Glen Out,Glendale WTP outlet,NA,Glen Out,2009,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2009,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2009,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2009,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,2009,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2009,NA,20.5,NA,8.7,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2009,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2009,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2009,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2009,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2009,NA,19.5,NA,8.6,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2009,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2009,NA,21.2,NA,8.1,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2009,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2009,NA,19.8,NA,8.6,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2009,NA,19.8,NA,8.6,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2009,NA,20.3,NA,8.6,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2009,NA,NA,NA,NA,NA,NA,NA
